service_slug,city_slug,position,question,answer,published
pompe-a-chaleur,bondues,8,"Aides financières : suis-je éligible ?","Accompagnement MaPrimeRénov'/CEE : vérification d'éligibilité, devis normalisés et attestations, montage du dossier.",true
pompe-a-chaleur,la-madeleine,1,"Quelle PAC choisir à La Madeleine (maison vs copro) ?","Air/eau pour radiateurs/plancher + ECS, adaptée en remplacement de chaudière ; air/air pour chauffage/rafraîchissement sans ECS, pratique en appartements compacts.",true
pompe-a-chaleur,la-madeleine,2,"Contraintes copro (Saint-Maur, centre) : comment faire ?","Nous montons le dossier syndic : acoustique, implantation, schémas, évacuations/condensats ; coordination avec gardien/syndic pour limiter les nuisances.",true
pompe-a-chaleur,la-madeleine,3,"Où implanter l'unité extérieure en ville ?","En cour intérieure ou façade non exposée aux chambres, sur plots antivibratiles, avec dégagement d'air et traitement acoustique si nécessaire.",true
pompe-a-chaleur,la-madeleine,4,"Radiateurs existants : compatibles ?","Souvent oui après désembouage et équilibrage ; nous ajustons la loi d'eau et remplaçons au besoin certains émetteurs par des modèles basse température.",true
pompe-a-chaleur,la-madeleine,5,"Entretien d'une PAC : obligatoire ?","Recommandé et parfois obligatoire selon la charge en fluide ; contrôles étanchéité, régulation, dégivrage, échangeurs et circulateur.",true
pompe-a-chaleur,la-madeleine,6,"Économies et confort : à quoi s'attendre ?","Baisse de conso versus gaz/fioul grâce à un SCOP élevé ; confort stable à basse température, suivi d'optimisation après pose.",true
pompe-a-chaleur,la-madeleine,7,"Délais d'installation ?","Après validation technique et copro le cas échéant, la pose et mise en service s'échelonnent généralement sur 1 à 2 jours selon configuration.",true
pompe-a-chaleur,la-madeleine,8,"Aides (MaPrimeRénov', CEE) : prise en charge ?","Nous gérons l'éligibilité, les devis normalisés et les attestations, et guidons le calendrier pour enclencher les primes.",true
pompe-a-chaleur,lambersart,1,"PAC pour maisons bourgeoises de Canteleu : spécifique ?","Étude dédiée : basse température, intégrations compactes, respect des boiseries et conduits existants ; silencieux et antivibratiles prioritaires.",true
pompe-a-chaleur,lambersart,2,"Compatibilité radiateurs à Lambersart ?","En général oui avec désembouage et équilibrage ; remplacement ponctuel d'émetteurs en cas de température de départ trop élevée.",true
pompe-a-chaleur,lambersart,3,"Où placer l'unité extérieure (Pacot-Vandracq, Champ-de-Courses) ?","En jardin/cour, façade non exposée, plots antivibratiles, gestion condensats ; écrans acoustiques si nécessaire.",true
pompe-a-chaleur,lambersart,4,"Remplacer une chaudière : quelles étapes ?","Étude thermique, choix PAC, dépose chaudière, pose hydraulique/électrique, mise en service, réglages loi d'eau et suivi post-pose.",true
pompe-a-chaleur,lambersart,5,"Entretien annuel : que vérifiez-vous ?","Étanchéité, rendement, cycles de dégivrage, propreté échangeurs, régulation et circulateur ; rapport et recommandations.",true
pompe-a-chaleur,lambersart,6,"Bruit : risques en mitoyenneté ?","Unités silencieuses, orientation maîtrisée, plots/écrans et distances réglementaires ; validation acoustique si besoin.",true
pompe-a-chaleur,lambersart,7,"Quelles économies attendre ?","Optimisation SCOP via dimensionnement + réglages fins ; économies substantielles par rapport aux chaudières anciennes.",true
pompe-a-chaleur,lambersart,8,"Aides financières disponibles ?","Accompagnement complet : MaPrimeRénov', CEE, devis normalisés, attestations et justificatifs.",true
pompe-a-chaleur,saint-andre-lez-lille,1,"PAC adaptée aux maisons mitoyennes de Saint-André ?","Air/eau pour radiateurs/plancher + ECS ; air/air pour chauffage/rafraîchissement en appoint. Étude acoustique pour secteurs proches de la Deûle.",true
pompe-a-chaleur,saint-andre-lez-lille,2,"Implantation extérieure (bords de Deûle, proche gare) : conseils ?","Cour/jardin ou façade non exposée, plots antivibratiles, dégagement d'air et gestion des condensats ; écrans selon voisinage.",true
pompe-a-chaleur,saint-andre-lez-lille,3,"Compatibilité radiateurs existants ?","Le plus souvent oui, après désembouage et équilibrage ; on ajuste la loi d'eau et remplace ponctuellement quelques émetteurs.",true
pompe-a-chaleur,saint-andre-lez-lille,4,"Économies envisageables ?","Selon isolation/usage ; objectif SCOP élevé via dimensionnement et réglages. Projection chiffrée fournie après étude.",true
pompe-a-chaleur,saint-andre-lez-lille,5,"Entretien : obligatoire ou recommandé ?","Recommandé et parfois obligatoire selon charge en fluide ; contrôles d'étanchéité, régulation, dégivrage, échangeurs et circulateur.",true
pompe-a-chaleur,saint-andre-lez-lille,6,"Délais d'intervention pour un dépannage ?","Organisation par secteurs ; diagnostic rapide, sécurisation et réparation dès que possible. En cas de pièce spécifique, retour programmé.",true
pompe-a-chaleur,saint-andre-lez-lille,7,"Copropriété : quelles pièces fournir ?","Fiches techniques/acoustiques, schéma d'implantation, gestion condensats et évacuations ; nous aidons à la préparation pour l'AG.",true
pompe-a-chaleur,saint-andre-lez-lille,8,"Aides (MaPrimeRénov', CEE) : prise en charge ?","Vérification d'éligibilité et montage du dossier (devis normalisés, attestations).",true
pompe-a-chaleur,lomme,1,"Air/eau ou air/air : que choisir à Lomme ?","Air/eau pour radiateurs/plancher + ECS ; air/air pour chauffage/rafraîchissement sans ECS, adapté aux logements compacts.",true
pompe-a-chaleur,lomme,2,"PAC et quartiers Délivrance/Bourg : contraintes ?","Accès/logements variés : unités compactes et silencieuses, attention à l'acoustique et aux distances ; gestion des condensats en hiver.",true
pompe-a-chaleur,lomme,3,"Mes radiateurs sont-ils compatibles ?","Généralement oui après désembouage et équilibrage ; remplacement ponctuel si température de départ trop élevée.",true
pompe-a-chaleur,lomme,4,"Quelles économies attendre ?","Avec un SCOP élevé (dimensionnement + réglages), baisse notable de consommation versus gaz/fioul ; projection chiffrée après étude.",true
pompe-a-chaleur,lomme,5,"Entretien : que comprend la visite ?","Contrôles étanchéité/rendement, réglages régulation, vérif dégivrage et nettoyage échangeurs/filtrations.",true
pompe-a-chaleur,lomme,6,"Dépannage en hiver : délais ?","Prise en charge sectorisée ; sécurisation immédiate, diagnostic et commande de pièce le cas échéant, retour planifié.",true
pompe-a-chaleur,lomme,7,"Implantation extérieure : où la prévoir ?","Cour/jardin ou balcon technique, plots antivibratiles, dégagement d'air suffisant ; écrans acoustiques si voisinage proche.",true
pompe-a-chaleur,lomme,8,"Aides financières disponibles ?","Accompagnement complet MaPrimeRénov'/CEE : éligibilité, devis normalisés, attestations, calendrier des démarches.",true
